Rank,Company,EmployeeCount,Revenue,Profits,Assets,MarketValue,Sector,Industry,Hqcity,Hqstate
223,Community Health Systems,78500,14155,-788,15859,433.5,Health Care,Health Care: Medical Facilities,Franklin,TN
224,Kinder Morgan,11012,14144,1609,78866,45294.8,Energy,Pipelines,Houston,TX
225,Qurate Retail,27226,14070,916,17841,6961.7,Media,Internet Services and Retailing,Denver,CO
226,Loews,17900,14066,636,78316,14920.6,Financials,Insurance: Property and Casualty (Stock),New York,NY
227,Arconic,43000,14014,642,18693,8658.4,Aerospace & Defense,Aerospace and Defense,New York,NY
228,Stanley Black & Decker,60767,13982.4,605.2,19408,20610.3,Household Products,"Home Equipment, Furnishings",New Britain,CT
229,Textron,35000,13972,1222,14264,11846.7,Aerospace & Defense,Aerospace and Defense,Providence,RI
230,Las Vegas Sands,51500,13729,2413,22547,47247.2,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,NV
231,Estee Lauder,46000,13683,1108,12567,59790.5,Household Products,Household and Personal Products,New York,NY
232,DISH Network,16000,13621.3,1575.1,30587,14827.5,Telecommunications,Telecommunications,Englewood,CO
233,Stryker,36000,13601,3553,27229,73695.7,Health Care,Medical Products and Equipment,Kalamazoo,MI
234,Kellogg,34000,13547,1336,17780,19722.6,"Food, Beverages & Tobacco",Food Consumer Products,Battle Creek,MI
235,Biogen,7800,13452.9,4430.7,25288.9,46498,Health Care,Pharmaceuticals,Cambridge,MA
236,Alcoa,14000,13403,227,15938,5224.1,Materials,Metals,New York,NY
237,Anadarko Petroleum,4700,13382,615,40376,22828.2,Energy,"Mining, Crude-Oil Production",The Woodlands,TX
238,Dominion Energy,16100,13366,2447,77914,61281.9,Energy,Utilities: Gas and Electric,Richmond,VA
239,ADP,57000,13325.8,1620.8,37088.7,69587.5,Business Services,Diversified Outsourcing Services,Roseland,NJ
240,salesforce.com,35000,13282,1110,30737,122103.3,Technology,Computer Software,San Francisco,CA
241,L Brands,57200,13236.9,643.9,8090.2,7589.9,Retailing,Specialty Retailers: Apparel,Columbus,OH
242,Henry Schein,22600,13202,535.9,8500.5,9100.9,Wholesalers,Wholesalers: Health Care,Melville,NY
243,Newell Brands,37000,13033.1,-6917.9,17716.4,6490.1,Household Products,"Home Equipment, Furnishings",Hoboken,NJ
244,Guardian Life Ins. Co. of America,9556,13014.9,464.9,74053,,Financials,"Insurance: Life, Health (Mutual)",New York,NY
245,BJ's Wholesale Club,26383,13007.3,127.3,3239.3,3776.6,Retailing,Wholesalers: Diversified,Westborough,MA
246,BB&T Corp.,35852,12996,3237,225697,35541,Financials,Commercial Banks,Winston-Salem,NC
247,State Street Corp.,40142,12973,2599,244626,24919.6,Financials,Commercial Banks,Boston,MA
248,Viacom,10880,12943,1719,23783,11530.7,Media,Entertainment,New York,NY
249,Ameriprise Financial,14062,12924,2098,137216,17345.1,Financials,Diversified Financials,Minneapolis,MN
250,Core-Mark Holding,8087,12903.9,45.5,1666.1,1703.2,Wholesalers,Wholesalers: Food and Grocery,South San Francisco,CA
